Temperature - (Celsius), Year, Statistics, Country, ISO3
23.5602, 1920, Dec Average, Venezuela, VEN
24.6844, 1921, Jan Average, Venezuela, VEN
25.4526, 1921, Feb Average, Venezuela, VEN
25.6474, 1921, Mar Average, Venezuela, VEN
25.3605, 1921, Apr Average, Venezuela, VEN
25.4449, 1921, May Average, Venezuela, VEN
24.2525, 1921, Jun Average, Venezuela, VEN
24.076, 1921, Jul Average, Venezuela, VEN
24.5709, 1921, Aug Average, Venezuela, VEN
25.0948, 1921, Sep Average, Venezuela, VEN
24.5974, 1921, Oct Average, Venezuela, VEN
24.9839, 1921, Nov Average, Venezuela, VEN
24.3698, 1921, Dec Average, Venezuela, VEN
24.4976, 1922, Jan Average, Venezuela, VEN
24.7833, 1922, Feb Average, Venezuela, VEN
25.0371, 1922, Mar Average, Venezuela, VEN
25.4523, 1922, Apr Average, Venezuela, VEN
24.8714, 1922, May Average, Venezuela, VEN
24.0717, 1922, Jun Average, Venezuela, VEN
24.2026, 1922, Jul Average, Venezuela, VEN
24.4469, 1922, Aug Average, Venezuela, VEN
24.8848, 1922, Sep Average, Venezuela, VEN
25.1058, 1922, Oct Average, Venezuela, VEN
24.7597, 1922, Nov Average, Venezuela, VEN
23.7432, 1922, Dec Average, Venezuela, VEN
24.0604, 1923, Jan Average, Venezuela, VEN
24.4813, 1923, Feb Average, Venezuela, VEN
24.773, 1923, Mar Average, Venezuela, VEN
25.5473, 1923, Apr Average, Venezuela, VEN
25.3466, 1923, May Average, Venezuela, VEN
24.3562, 1923, Jun Average, Venezuela, VEN
24.2907, 1923, Jul Average, Venezuela, VEN
24.6754, 1923, Aug Average, Venezuela, VEN
25.2276, 1923, Sep Average, Venezuela, VEN
25.0889, 1923, Oct Average, Venezuela, VEN
25.4043, 1923, Nov Average, Venezuela, VEN
24.5549, 1923, Dec Average, Venezuela, VEN
24.527, 1924, Jan Average, Venezuela, VEN
25.4261, 1924, Feb Average, Venezuela, VEN
26.0509, 1924, Mar Average, Venezuela, VEN
26.1588, 1924, Apr Average, Venezuela, VEN
25.5329, 1924, May Average, Venezuela, VEN
24.1384, 1924, Jun Average, Venezuela, VEN
23.9798, 1924, Jul Average, Venezuela, VEN
24.6295, 1924, Aug Average, Venezuela, VEN
24.4459, 1924, Sep Average, Venezuela, VEN
24.5594, 1924, Oct Average, Venezuela, VEN
24.6679, 1924, Nov Average, Venezuela, VEN
24.0063, 1924, Dec Average, Venezuela, VEN
23.8224, 1925, Jan Average, Venezuela, VEN
24.5894, 1925, Feb Average, Venezuela, VEN
25.0596, 1925, Mar Average, Venezuela, VEN
25.717, 1925, Apr Average, Venezuela, VEN
25.4104, 1925, May Average, Venezuela, VEN
24.4684, 1925, Jun Average, Venezuela, VEN
24.2953, 1925, Jul Average, Venezuela, VEN
24.4227, 1925, Aug Average, Venezuela, VEN
24.7255, 1925, Sep Average, Venezuela, VEN
25.2563, 1925, Oct Average, Venezuela, VEN
25.0936, 1925, Nov Average, Venezuela, VEN
25.0484, 1925, Dec Average, Venezuela, VEN
24.9759, 1926, Jan Average, Venezuela, VEN
25.7181, 1926, Feb Average, Venezuela, VEN
26.1638, 1926, Mar Average, Venezuela, VEN
26.474, 1926, Apr Average, Venezuela, VEN
26.0434, 1926, May Average, Venezuela, VEN
25.5014, 1926, Jun Average, Venezuela, VEN
24.6391, 1926, Jul Average, Venezuela, VEN
24.6632, 1926, Aug Average, Venezuela, VEN
24.6891, 1926, Sep Average, Venezuela, VEN
25.1073, 1926, Oct Average, Venezuela, VEN
25.2407, 1926, Nov Average, Venezuela, VEN
24.327, 1926, Dec Average, Venezuela, VEN
24.3743, 1927, Jan Average, Venezuela, VEN
24.4302, 1927, Feb Average, Venezuela, VEN
25.5592, 1927, Mar Average, Venezuela, VEN
25.1348, 1927, Apr Average, Venezuela, VEN
24.7696, 1927, May Average, Venezuela, VEN
24.1675, 1927, Jun Average, Venezuela, VEN
23.7317, 1927, Jul Average, Venezuela, VEN
24.4453, 1927, Aug Average, Venezuela, VEN
24.7361, 1927, Sep Average, Venezuela, VEN
24.8084, 1927, Oct Average, Venezuela, VEN
25.3249, 1927, Nov Average, Venezuela, VEN
24.6086, 1927, Dec Average, Venezuela, VEN
24.4037, 1928, Jan Average, Venezuela, VEN
25.0985, 1928, Feb Average, Venezuela, VEN
25.4045, 1928, Mar Average, Venezuela, VEN
26.0065, 1928, Apr Average, Venezuela, VEN
25.1666, 1928, May Average, Venezuela, VEN
24.3118, 1928, Jun Average, Venezuela, VEN
24.2526, 1928, Jul Average, Venezuela, VEN
24.522, 1928, Aug Average, Venezuela, VEN
24.9277, 1928, Sep Average, Venezuela, VEN
24.9468, 1928, Oct Average, Venezuela, VEN
25.0287, 1928, Nov Average, Venezuela, VEN
24.2881, 1928, Dec Average, Venezuela, VEN
24.1048, 1929, Jan Average, Venezuela, VEN
25.0989, 1929, Feb Average, Venezuela, VEN
25.1702, 1929, Mar Average, Venezuela, VEN
25.3883, 1929, Apr Average, Venezuela, VEN
24.5426, 1929, May Average, Venezuela, VEN
24.178, 1929, Jun Average, Venezuela, VEN
24.2135, 1929, Jul Average, Venezuela, VEN
24.6508, 1929, Aug Average, Venezuela, VEN
24.949, 1929, Sep Average, Venezuela, VEN
25.2242, 1929, Oct Average, Venezuela, VEN
25.039, 1929, Nov Average, Venezuela, VEN
24.256, 1929, Dec Average, Venezuela, VEN
24.2168, 1930, Jan Average, Venezuela, VEN
24.9441, 1930, Feb Average, Venezuela, VEN
25.2179, 1930, Mar Average, Venezuela, VEN
25.783, 1930, Apr Average, Venezuela, VEN
25.2138, 1930, May Average, Venezuela, VEN
24.4811, 1930, Jun Average, Venezuela, VEN
24.2556, 1930, Jul Average, Venezuela, VEN
24.5135, 1930, Aug Average, Venezuela, VEN
24.8285, 1930, Sep Average, Venezuela, VEN
25.057, 1930, Oct Average, Venezuela, VEN
25.0299, 1930, Nov Average, Venezuela, VEN
24.6354, 1930, Dec Average, Venezuela, VEN
25.1344, 1931, Jan Average, Venezuela, VEN
25.5135, 1931, Feb Average, Venezuela, VEN
26.609, 1931, Mar Average, Venezuela, VEN
26.4687, 1931, Apr Average, Venezuela, VEN
25.6198, 1931, May Average, Venezuela, VEN
24.6984, 1931, Jun Average, Venezuela, VEN
24.0757, 1931, Jul Average, Venezuela, VEN
24.843, 1931, Aug Average, Venezuela, VEN
24.6577, 1931, Sep Average, Venezuela, VEN
25.1313, 1931, Oct Average, Venezuela, VEN
25.3541, 1931, Nov Average, Venezuela, VEN
24.749, 1931, Dec Average, Venezuela, VEN
24.734, 1932, Jan Average, Venezuela, VEN
25.4901, 1932, Feb Average, Venezuela, VEN
26.0997, 1932, Mar Average, Venezuela, VEN
26.7794, 1932, Apr Average, Venezuela, VEN
25.6429, 1932, May Average, Venezuela, VEN
24.9861, 1932, Jun Average, Venezuela, VEN
24.6734, 1932, Jul Average, Venezuela, VEN
24.9053, 1932, Aug Average, Venezuela, VEN
25.6132, 1932, Sep Average, Venezuela, VEN
25.4309, 1932, Oct Average, Venezuela, VEN
25.8478, 1932, Nov Average, Venezuela, VEN
25.032, 1932, Dec Average, Venezuela, VEN
24.7961, 1933, Jan Average, Venezuela, VEN
24.7601, 1933, Feb Average, Venezuela, VEN
25.7968, 1933, Mar Average, Venezuela, VEN
26.1212, 1933, Apr Average, Venezuela, VEN
25.5958, 1933, May Average, Venezuela, VEN
24.5771, 1933, Jun Average, Venezuela, VEN
24.544, 1933, Jul Average, Venezuela, VEN
24.6288, 1933, Aug Average, Venezuela, VEN
25.0802, 1933, Sep Average, Venezuela, VEN
24.8691, 1933, Oct Average, Venezuela, VEN
24.8627, 1933, Nov Average, Venezuela, VEN
24.3542, 1933, Dec Average, Venezuela, VEN
24.2953, 1934, Jan Average, Venezuela, VEN
24.5605, 1934, Feb Average, Venezuela, VEN
25.0621, 1934, Mar Average, Venezuela, VEN
26.2779, 1934, Apr Average, Venezuela, VEN
25.7953, 1934, May Average, Venezuela, VEN
25.2858, 1934, Jun Average, Venezuela, VEN
24.6503, 1934, Jul Average, Venezuela, VEN
25.0521, 1934, Aug Average, Venezuela, VEN
25.398, 1934, Sep Average, Venezuela, VEN
25.0725, 1934, Oct Average, Venezuela, VEN
25.4334, 1934, Nov Average, Venezuela, VEN
24.9575, 1934, Dec Average, Venezuela, VEN
24.9218, 1935, Jan Average, Venezuela, VEN
25.1606, 1935, Feb Average, Venezuela, VEN
25.4386, 1935, Mar Average, Venezuela, VEN
25.905, 1935, Apr Average, Venezuela, VEN
25.0863, 1935, May Average, Venezuela, VEN
24.6529, 1935, Jun Average, Venezuela, VEN
24.5505, 1935, Jul Average, Venezuela, VEN
24.5161, 1935, Aug Average, Venezuela, VEN
25.0685, 1935, Sep Average, Venezuela, VEN
25.3587, 1935, Oct Average, Venezuela, VEN
25.3388, 1935, Nov Average, Venezuela, VEN
24.9413, 1935, Dec Average, Venezuela, VEN
24.6771, 1936, Jan Average, Venezuela, VEN
25.1078, 1936, Feb Average, Venezuela, VEN
26.0916, 1936, Mar Average, Venezuela, VEN
25.9803, 1936, Apr Average, Venezuela, VEN
25.7266, 1936, May Average, Venezuela, VEN
24.6916, 1936, Jun Average, Venezuela, VEN
24.5603, 1936, Jul Average, Venezuela, VEN
25.097, 1936, Aug Average, Venezuela, VEN
25.2748, 1936, Sep Average, Venezuela, VEN
25.2369, 1936, Oct Average, Venezuela, VEN
25.4968, 1936, Nov Average, Venezuela, VEN
24.7608, 1936, Dec Average, Venezuela, VEN
24.6163, 1937, Jan Average, Venezuela, VEN
25.1289, 1937, Feb Average, Venezuela, VEN
26.1876, 1937, Mar Average, Venezuela, VEN
26.0965, 1937, Apr Average, Venezuela, VEN
25.4765, 1937, May Average, Venezuela, VEN
24.841, 1937, Jun Average, Venezuela, VEN
24.4884, 1937, Jul Average, Venezuela, VEN
24.9693, 1937, Aug Average, Venezuela, VEN
25.2557, 1937, Sep Average, Venezuela, VEN
25.7115, 1937, Oct Average, Venezuela, VEN
25.6632, 1937, Nov Average, Venezuela, VEN
25.3188, 1937, Dec Average, Venezuela, VEN
25.012, 1938, Jan Average, Venezuela, VEN
25.462, 1938, Feb Average, Venezuela, VEN
25.231, 1938, Mar Average, Venezuela, VEN
25.2912, 1938, Apr Average, Venezuela, VEN
24.9169, 1938, May Average, Venezuela, VEN
24.5891, 1938, Jun Average, Venezuela, VEN
24.6038, 1938, Jul Average, Venezuela, VEN
24.8254, 1938, Aug Average, Venezuela, VEN
25.4259, 1938, Sep Average, Venezuela, VEN
25.6421, 1938, Oct Average, Venezuela, VEN
25.3725, 1938, Nov Average, Venezuela, VEN
25.0541, 1938, Dec Average, Venezuela, VEN
24.4255, 1939, Jan Average, Venezuela, VEN
24.4945, 1939, Feb Average, Venezuela, VEN
25.0095, 1939, Mar Average, Venezuela, VEN
25.2826, 1939, Apr Average, Venezuela, VEN
25.4455, 1939, May Average, Venezuela, VEN
24.7194, 1939, Jun Average, Venezuela, VEN
24.7086, 1939, Jul Average, Venezuela, VEN
25.2501, 1939, Aug Average, Venezuela, VEN
25.6015, 1939, Sep Average, Venezuela, VEN
25.6573, 1939, Oct Average, Venezuela, VEN
25.8506, 1939, Nov Average, Venezuela, VEN
25.8207, 1939, Dec Average, Venezuela, VEN
25.1756, 1940, Jan Average, Venezuela, VEN
26.038, 1940, Feb Average, Venezuela, VEN
26.3855, 1940, Mar Average, Venezuela, VEN
26.6986, 1940, Apr Average, Venezuela, VEN
26.5807, 1940, May Average, Venezuela, VEN
25.439, 1940, Jun Average, Venezuela, VEN
25.4015, 1940, Jul Average, Venezuela, VEN
25.2096, 1940, Aug Average, Venezuela, VEN
25.9783, 1940, Sep Average, Venezuela, VEN
25.9951, 1940, Oct Average, Venezuela, VEN
25.8014, 1940, Nov Average, Venezuela, VEN
25.2463, 1940, Dec Average, Venezuela, VEN
25.6391, 1941, Jan Average, Venezuela, VEN
26.5471, 1941, Feb Average, Venezuela, VEN
27.0857, 1941, Mar Average, Venezuela, VEN
27.1218, 1941, Apr Average, Venezuela, VEN
26.6492, 1941, May Average, Venezuela, VEN
25.1679, 1941, Jun Average, Venezuela, VEN
25.1927, 1941, Jul Average, Venezuela, VEN
25.5883, 1941, Aug Average, Venezuela, VEN
25.8975, 1941, Sep Average, Venezuela, VEN
26.2898, 1941, Oct Average, Venezuela, VEN
26.2846, 1941, Nov Average, Venezuela, VEN
25.9506, 1941, Dec Average, Venezuela, VEN
25.8842, 1942, Jan Average, Venezuela, VEN
26.4405, 1942, Feb Average, Venezuela, VEN
26.6253, 1942, Mar Average, Venezuela, VEN
26.5048, 1942, Apr Average, Venezuela, VEN
25.6405, 1942, May Average, Venezuela, VEN
25.0571, 1942, Jun Average, Venezuela, VEN
24.8584, 1942, Jul Average, Venezuela, VEN
25.4164, 1942, Aug Average, Venezuela, VEN
25.8352, 1942, Sep Average, Venezuela, VEN
26.0488, 1942, Oct Average, Venezuela, VEN
25.9845, 1942, Nov Average, Venezuela, VEN
25.3398, 1942, Dec Average, Venezuela, VEN
25.2277, 1943, Jan Average, Venezuela, VEN
25.2847, 1943, Feb Average, Venezuela, VEN
25.5598, 1943, Mar Average, Venezuela, VEN
25.931, 1943, Apr Average, Venezuela, VEN
24.9447, 1943, May Average, Venezuela, VEN
24.7068, 1943, Jun Average, Venezuela, VEN
24.4569, 1943, Jul Average, Venezuela, VEN
24.9466, 1943, Aug Average, Venezuela, VEN
25.8488, 1943, Sep Average, Venezuela, VEN
25.9109, 1943, Oct Average, Venezuela, VEN
25.8261, 1943, Nov Average, Venezuela, VEN
25.3143, 1943, Dec Average, Venezuela, VEN
25.1505, 1944, Jan Average, Venezuela, VEN
25.3888, 1944, Feb Average, Venezuela, VEN
25.8001, 1944, Mar Average, Venezuela, VEN
25.996, 1944, Apr Average, Venezuela, VEN
25.468, 1944, May Average, Venezuela, VEN
24.6714, 1944, Jun Average, Venezuela, VEN
24.939, 1944, Jul Average, Venezuela, VEN
25.4957, 1944, Aug Average, Venezuela, VEN
25.4922, 1944, Sep Average, Venezuela, VEN
26.1739, 1944, Oct Average, Venezuela, VEN
25.8242, 1944, Nov Average, Venezuela, VEN
25.2976, 1944, Dec Average, Venezuela, VEN
24.7434, 1945, Jan Average, Venezuela, VEN
25.0194, 1945, Feb Average, Venezuela, VEN
25.827, 1945, Mar Average, Venezuela, VEN
25.7085, 1945, Apr Average, Venezuela, VEN
25.0862, 1945, May Average, Venezuela, VEN
24.6348, 1945, Jun Average, Venezuela, VEN
24.7015, 1945, Jul Average, Venezuela, VEN
25.3263, 1945, Aug Average, Venezuela, VEN
25.5792, 1945, Sep Average, Venezuela, VEN
25.5791, 1945, Oct Average, Venezuela, VEN
25.6273, 1945, Nov Average, Venezuela, VEN
25.2515, 1945, Dec Average, Venezuela, VEN
25.0256, 1946, Jan Average, Venezuela, VEN
25.163, 1946, Feb Average, Venezuela, VEN
25.8914, 1946, Mar Average, Venezuela, VEN
25.5611, 1946, Apr Average, Venezuela, VEN
25.1867, 1946, May Average, Venezuela, VEN
24.8866, 1946, Jun Average, Venezuela, VEN
24.6407, 1946, Jul Average, Venezuela, VEN
24.7001, 1946, Aug Average, Venezuela, VEN
25.4442, 1946, Sep Average, Venezuela, VEN
25.6532, 1946, Oct Average, Venezuela, VEN
25.6321, 1946, Nov Average, Venezuela, VEN
25.5027, 1946, Dec Average, Venezuela, VEN
25.1727, 1947, Jan Average, Venezuela, VEN
26.1225, 1947, Feb Average, Venezuela, VEN
26.4269, 1947, Mar Average, Venezuela, VEN
26.4089, 1947, Apr Average, Venezuela, VEN
26.016, 1947, May Average, Venezuela, VEN
25.2029, 1947, Jun Average, Venezuela, VEN
24.5035, 1947, Jul Average, Venezuela, VEN
25.1119, 1947, Aug Average, Venezuela, VEN
25.5356, 1947, Sep Average, Venezuela, VEN
25.7172, 1947, Oct Average, Venezuela, VEN
25.9269, 1947, Nov Average, Venezuela, VEN
25.5463, 1947, Dec Average, Venezuela, VEN
